DATE,PPU18WA53011A156NCEN
1989-01-01,15.5
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,15.4
1994-01-01,.
1995-01-01,13.0
1996-01-01,.
1997-01-01,13.5
1998-01-01,12.2
1999-01-01,12.4
2000-01-01,12.0
2001-01-01,11.8
2002-01-01,13.0
2003-01-01,15.3
2004-01-01,15.7
2005-01-01,15.7
2006-01-01,12.9
2007-01-01,11.9
2008-01-01,13.0
2009-01-01,16.3
2010-01-01,17.6
2011-01-01,18.1
2012-01-01,16.1
2013-01-01,17.4
2014-01-01,13.6
2015-01-01,14.5
2016-01-01,10.9
2017-01-01,13.6
2018-01-01,10.6
2019-01-01,12.1
2020-01-01,10.0
2021-01-01,11.2
2022-01-01,9.4
